"","date","text","id","link","retweets","likes","account","followers","like_ratio","retweet_ratio","interaction_ratio"
"22",2022-06-30 15:00:47,"Shave.","1542614146310709248","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",2,13,"@Gillette",126956,0.000102397681086361,1.57534893979016e-05,0.143553672138379
"23",2022-06-30 13:01:48,"When ""I love your scruff"" turns into ""are you okay?""

We're here for you.","1542584203287699456","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",0,5,"@Gillette",126956,3.93837234947541e-05,0,0.143553672138379
"24",2022-06-28 15:01:20,"Tag your S.O. and let us effortlessly drop him a hint. We’ve got a GilletteLabs with Exfoliating Bar and we’re not afraid to use it. 😎 https://t.co/oqaxjjv0bH","1541889510325223428","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",6,8,"@Gillette",126956,6.30139575916065e-05,4.72604681937049e-05,0.143553672138379
"25",2022-06-28 13:01:32,"When you hear the words “spring cleaning”, you can just shave and everyone will be happy. 

Just also maybe throw out those 10 pairs of socks with holes in them.","1541859361571704833","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",1,5,"@Gillette",126956,3.93837234947541e-05,7.87674469895082e-06,0.143553672138379
"26",2022-06-23 15:30:42,"Give your guy the phone, and show him he could use a shave without saying a thing. https://t.co/R8ypQXQ9ou","1540084960954130432","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",3,14,"@Gillette",126956,0.000110274425785311,2.36302340968525e-05,0.143553672138379
"27",2022-06-23 14:30:11,"He’s a 9 but leaves the sink all hairy","1540069732367454208","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",1,11,"@Gillette",126956,8.6644191688459e-05,7.87674469895082e-06,0.143553672138379
"28",2022-06-23 14:00:54,"He’s a 10 but doesn't own a razor","1540062359888297984","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",1,9,"@Gillette",126956,7.08907022905574e-05,7.87674469895082e-06,0.143553672138379
"29",2022-06-23 13:01:13,"To everyone who decided it was a good idea to follow a razor account. Thank you. 🙏","1540047342077886464","<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",4,26,"@Gillette",126956,0.000204795362172721,3.15069787958033e-05,0.143553672138379
"30",2022-06-22 11:00:00,"The GilletteLabs with Exfoliating Bar is guaranteed to last a lifetime. But will the Internet and this tweet last as long? 🤔 👀 #ShavingThoughts","1539654448535969792","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,5,"@Gillette",126956,3.93837234947541e-05,7.87674469895082e-06,0.143553672138379
"31",2022-06-21 14:00:00,"Do you think we effortlessly type our tweets holding a GilletteLabs with Exfoliating Bar, pressing every single letter one at a time with the end of it? Cause we do. 🪒 😎","1539337359447281664","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,6,"@Gillette",126956,4.72604681937049e-05,7.87674469895082e-06,0.143553672138379
"32",2022-06-14 13:00:00,"The GilletteLabs with Exfoliating Bar you buy this year, will still be under warranty in 2080. That’s a real “Lifetime Guarantee”. https://t.co/Bb7jIVbLw2","1536785544834822145","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,14,"@Gillette",126956,0.000110274425785311,1.57534893979016e-05,0.143553672138379
"33",2022-06-10 15:00:00,"“Phew. It’s finally 2022 and we’re going back to the office. There’s a light at the end of the tunnel.” 

The light at the end of the tunnel: https://t.co/8ouVDfnUiV","1535366193443266563","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,12,"@Gillette",126956,9.45209363874098e-05,0,0.143553672138379
"34",2022-06-08 11:00:00,"We've been shaving this tweet for the home team! Kill it tonight Boston @Celtics 🏀","1534581017268322307","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,14,"@Gillette",126956,0.000110274425785311,7.87674469895082e-06,0.143553672138379
"35",2022-06-07 14:00:00,"Iykyk, and if you don’t, just know it’ll be easier than last year when you use the GilletteLabs with Exfoliating Bar. 🤙 https://t.co/82bn7hVW0O","1534263928250847233","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,9,"@Gillette",126956,7.08907022905574e-05,0,0.143553672138379
"36",2022-06-02 14:00:00,"#RandomShavingFact No. 1: Shaving a hair in a facial follicle is like trying to cut a strand of tensile steel planted in jello.","1532451988759363592","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,7,"@Gillette",126956,5.51372128926557e-05,0,0.143553672138379
"37",2022-06-01 15:50:49,"Three words sums it up: Next. Generation. Shaving. Thank you for the S/O on our GilletteLabs with Exfoliating Bar @TODAYshow @MensHealthMag https://t.co/O0M1kcUodo","1532117488309239808","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8,"@Gillette",126956,6.30139575916065e-05,0,0.143553672138379
"38",2022-05-16 15:00:01,"Boom. Who said spring cleaning couldn’t be this satisfying? https://t.co/dyzezl0yP0","1526306500599218176","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,30,"@Gillette",126956,0.000236302340968525,7.87674469895082e-06,0.143553672138379
"39",2022-05-13 16:01:43,"Your 15 year shaving routine is about to get even more effortless @jasonmyrt Check your DMs for your usual and the latest from GilletteLabs 😎 https://t.co/CvEKyHxXZ5","1525234861182787584","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8,"@Gillette",126956,6.30139575916065e-05,0,0.143553672138379
"40",2022-05-06 13:30:00,"What your mom sees when you shave: 👶","1522659966112329728","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,21,"@Gillette",126956,0.000165411638677967,7.87674469895082e-06,0.143553672138379
"41",2022-05-03 14:00:01,"The clock’s run out, and THE WINNERS of #GilletteOnTheClock #Sweepstakes have been SELECTED! We’ll be contacting the winners separately, so keep an eye on those messages! https://t.co/2THdCDM7mV","1521580359476867072","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",11,90,"@Gillette",126956,0.000708907022905574,8.6644191688459e-05,0.143553672138379
"42",2022-05-03 10:00:00,"When you’re shaving in front of the newest generation, make sure you’re using the newest generation of razors #GilletteLabsWithExfoliatingBar","1521519954872262656","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,13,"@Gillette",126956,0.000102397681086361,7.87674469895082e-06,0.143553672138379
"43",2022-05-02 09:00:00,"When they’re looking up to you, they’re also watching how you shave. So here’s to young dads: Take time to self care. 🙏","1521142466853842945","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3,16,"@Gillette",126956,0.000126027915183213,2.36302340968525e-05,0.143553672138379
"44",2022-04-30 09:00:01,"TODAY is the FINAL day for your chance to win Super Bowl tickets. 32 runner-ups will get a pair of tickets to a team of their choice! #GilletteOnTheClock #Sweepstakes NO PURCH NEC. US residents, 18+, 4/28-5/1, Rules: https://t.co/twHiLUBCRr, Void where prohibited https://t.co/ogfKXaa7WC","1520417696617271297","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",24,55,"@Gillette",126956,0.000433220958442295,0.00018904187277482,0.143553672138379
"45",2022-04-29 09:00:03,"Counting down the days until we give out Super Bowl tickets. 32 runner-ups will get a pair of tickets to a team of their choice! #GilletteOnTheClock #Sweepstakes NO PURCH NEC. US residents, 18+, 4/28-5/1, Rules: https://t.co/twHiLUBCRr, Void where prohibited https://t.co/u5c8TmtXWM","1520055314984448002","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",44,131,"@Gillette",126956,0.00103185355556256,0.000346576766753836,0.143553672138379
"46",2022-04-28 14:26:11,"RT before Sunday at 11:59PM EST &amp; use #GilletteOnTheClock #Sweepstakes for a chance to win Super Bowl LVII tickets. 32 runner-ups will get a pair of tickets to a team of their choice! NO PURCH NEC. US residents, 18+, 4/28-5/1, Rules:https://t.co/49B2metR07 Void where prohibited https://t.co/WrzRHCVQQg","1519775001494364161","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2048,1637,"@Gillette",126956,0.0128942310721825,0.0161315731434513,0.143553672138379
"47",2022-04-27 09:00:02,"RT b/c there’s a dad out there who hasn’t shaved in 4 days &amp; needs us asap  🙏 https://t.co/wZjNstiJbT","1519330538036727809","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",123,169,"@Gillette",126956,0.00133116985412269,0.000968839597970951,0.143553672138379
"48",2022-04-26 09:09:10,"Shave time = alone time 😌","1518970446850498560","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,32,"@Gillette",126956,0.000252055830366426,1.57534893979016e-05,0.143553672138379
"49",2022-04-25 12:57:45,"As #DraftDay inches near, we’re getting in on the action, and our #GilletteOnTheClock #Sweepstakes is coming soon. 👀 #ItMightBeSuperBowlTickets #MightBeALotOfTickets #YouMightWin! 🏈🎉😎","1518665583092539392","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",126,140,"@Gillette",126956,0.00110274425785311,0.000992469832067803,0.143553672138379
"50",2022-04-22 08:54:02,"When’s the last time you shaved for a quick refresh?","1517517088038002689","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,14,"@Gillette",126956,0.000110274425785311,1.57534893979016e-05,0.143553672138379
"51",2022-04-20 10:59:18,"Pssstt. That little opening in your calendar called. It wants you to fill it with a quick &amp; easy shave. https://t.co/KmZocdkxIE","1516823835923857411","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,18,"@Gillette",126956,0.000141781404581115,1.57534893979016e-05,0.143553672138379
"52",2022-04-19 15:53:54,"You’d be surprised how two years in #GoblinMode will effortlessly disappear by clicking this link. https://t.co/KmZocdkxIE","1516535587947401222","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,17,"@Gillette",126956,0.000133904659882164,1.57534893979016e-05,0.143553672138379
"53",2022-04-18 11:32:32,"What’s your morning shaving line-up?","1516107423500673029","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,11,"@Gillette",126956,8.6644191688459e-05,1.57534893979016e-05,0.143553672138379
"54",2022-04-15 12:38:12,"What would get you to shave out of goblin mode?","1515036784815751170","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,9,"@Gillette",126956,7.08907022905574e-05,0,0.143553672138379
"55",2022-04-14 09:00:03,"When they’re looking up to you, they’re also watching how you shave. So here’s too young dads: Take time to self-care. 🙏","1514619500083101709","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,11,"@Gillette",126956,8.6644191688459e-05,7.87674469895082e-06,0.143553672138379
"56",2022-04-13 11:12:13,"2022’s Five Biggest Grooming Trends to Try:​

The GilletteLabs with Exfoliating Bar.​

The GilletteLabs with Exfoliating Bar.​

The GilletteLabs with Exfoliating Bar.​

The GilletteLabs with Exfoliating Bar.​

The GilletteLabs with Exfoliating Bar.","1514290371433533441","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,9,"@Gillette",126956,7.08907022905574e-05,0,0.143553672138379
